Tag	GSM4101749	GSM4101750	GSM4101751	GSM4101752	GSM4101753	GSM4101754	GSM4101755	GSM4101756	GSM4101757	GSM4101758	GSM4101759	GSM4101760	GSM4101761
SNRPN|PWARSN|SNURF|SNHG14	8.62619	9.55765	9.01859	9.71166	8.32335	9.43107	8.51203	8.62418	8.31483	9.57713	8.85019	9.42826	9.10112
SNTA1	6.3208	8.25028	8.34134	8.6175	6.93178	8.04727	7.9712	8.05707	7.41263	8.36544	7.33035	7.77813	7.83598
SNTB1	9.03278	9.65253	9.88985	10.1332	9.32311	9.93579	9.8198	9.64329	8.92113	9.81435	9.92034	9.99465	10.0124
SNTB2	8.40889	8.65125	7.90036	8.91948	8.21013	8.52087	8.52216	8.70347	7.66246	8.27616	8.60718	8.87316	8.60283
SNTG1	3.50483	3.74753	3.6432	3.84373	3.68675	3.43708	3.61546	3.54658	3.32183	3.60469	3.88901	3.31983	3.82041
SNTG2	5.25415	5.01662	5.30399	5.28573	4.81945	4.66773	5.53267	5.2751	5.32265	4.85858	4.91935	5.04514	4.76735
SNTN	2.4877	2.37841	2.54109	2.53884	2.58806	2.57687	2.70165	2.71711	2.51249	2.29752	2.46855	2.49825	2.48394
SNU13	7.79686	7.74175	8.01165	8.29717	7.73823	8.60487	7.92936	7.55087	8.16227	8.33579	7.90467	8.24139	7.88268
SNUPN	7.5395	7.92209	7.42747	7.07203	7.12348	7.01556	6.84302	7.2001	6.83818	7.24181	7.03367	7.45294	7.11706
SNW1	8.61709	8.53673	8.40813	7.70288	7.56959	7.59204	7.20622	7.76604	7.78405	7.18676	7.52722	7.48032	7.3426
SNX1	9.14274	9.26398	9.29339	9.82748	9.14186	9.53013	9.14182	9.39613	8.96564	9.61481	9.73698	9.22204	9.37734
SNX10	6.97795	5.74659	6.75118	5.18989	7.46583	6.76136	6.14509	7.19526	7.4574	4.7677	7.29741	5.91052	6.02771
SNX11	6.66447	6.50691	6.55427	7.43061	6.97597	7.1828	6.46978	6.22114	7.41861	6.85101	6.64545	6.83787	6.36934
